Feature,Importance
Changed Pixels During,0.4169111685966891
Speed During,0.324342331087073
Distance During,0.07987765355158324
Changed Pixels Before,0.07037051997358189
Distance Before,0.05447998055089674
Speed Before,0.05401834624017597
