Frame,Speed,X,Y,Changed Pixels
1,0.8394676743852001,267.8936170212766,556.8297872340426,13
2,0.29012014349999177,267.9591836734694,556.9591836734694,2
3,0.5522301673513413,268.2352941176471,556.9607843137255,4
4,0.0,268.2352941176471,556.9607843137255,0
5,0.16467383485916534,268.3076923076923,557.0,1
6,0.0,268.3076923076923,557.0,0
7,0.14842732549183973,268.3529411764706,557.0588235294117,1
8,0.16180641173613863,268.3,557.12,1
9,0.16009368352677517,268.3673469387755,557.1632653061224,1
10,0.28999403906337173,268.25531914893617,557.2553191489362,2
11,0.16501034913351556,268.1875,557.2083333333334,1
12,0.6795175449509069,268.51020408163265,557.1020408163265,5
13,0.4535343284958232,268.3076923076923,557.0,3
14,0.44068800432937744,268.32,557.22,4
15,0.0,268.32,557.22,0
16,0.0,268.32,557.22,0
17,0.0,268.32,557.22,0
18,0.0,268.32,557.22,0
19,0.0,268.32,557.22,0
20,0.0,268.32,557.22,0
21,0.1482413916694432,268.2857142857143,557.2857142857143,1
22,0.07115319094664053,268.3191489361702,557.2978723404256,2
23,0.0,268.3191489361702,557.2978723404256,0
24,0.5885816509646169,268.4222222222222,557.0222222222222,8
25,0.5691665988830533,268.6,556.8,4
26,0.17607353679403043,268.67391304347825,556.8478260869565,1
27,0.13716629809522074,268.6595744680851,556.9148936170212,1
28,0.17155984670553343,268.7173913043478,556.9782608695652,1
29,0.14790120804788842,268.6808510638298,557.0425531914893,1
30,0.0,268.6808510638298,557.0425531914893,0
31,0.0,268.6808510638298,557.0425531914893,0
32,0.16633251657533046,268.6304347826087,557.1086956521739,1
33,0.2644679360997861,268.60869565217394,556.9782608695652,2
34,0.1369971993540569,268.6222222222222,556.9111111111112,1
35,0.16342503216312135,268.67391304347825,556.8478260869565,1
36,0.16191092728655504,268.74468085106383,556.8085106382979,1
37,0.0,268.74468085106383,556.8085106382979,0
38,0.27247337180553827,268.6595744680851,556.9148936170212,2
39,0.0,268.6595744680851,556.9148936170212,0
40,0.16043160265300768,268.7291666666667,556.875,1
41,0.0,268.7291666666667,556.875,0
42,0.0,268.7291666666667,556.875,0
43,0.0,268.7291666666667,556.875,0
44,0.12314843767657167,268.67391304347825,556.8478260869565,2
45,0.46600245849715466,268.5833333333333,557.0625,4
46,0.1863389981250672,268.625,556.9791666666666,2
47,0.0,268.625,556.9791666666666,0
48,0.9300014934276638,268.16,556.98,6
49,0.4076445683771043,268.3469387755102,557.0612244897959,3
50,0.16542651196883265,268.42,557.1,1
51,0.0,268.42,557.1,0
52,0.0,268.42,557.1,0
53,0.0,268.42,557.1,0
54,0.0,268.42,557.1,0
55,0.33516579645165523,268.5833333333333,557.0625,2
56,0.33516579645165523,268.42,557.1,2
57,0.18045432967336075,268.51020408163265,557.1020408163265,1
58,0.0,268.51020408163265,557.1020408163265,0
59,0.0,268.51020408163265,557.1020408163265,0
60,0.41706041370589975,268.4791666666667,556.8958333333334,5
61,0.343228139224609,268.32,556.96,2
62,0.16941902671432016,268.2352941176471,556.9607843137255,1
63,0.0,268.2352941176471,556.9607843137255,0
64,0.0,268.2352941176471,556.9607843137255,0
65,0.0,268.2352941176471,556.9607843137255,0
66,0.0,268.2352941176471,556.9607843137255,0
67,0.0,268.2352941176471,556.9607843137255,0
68,0.0,268.2352941176471,556.9607843137255,0
69,0.5047472635655426,268.4791666666667,556.8958333333334,3
70,0.16860294442736384,268.5531914893617,556.936170212766,1
71,0.0,268.5531914893617,556.936170212766,0
72,0.6376977118012211,268.2352941176471,556.9607843137255,4
73,0.16434320480571654,268.18,556.9,1
74,0.16434320480571654,268.2352941176471,556.9607843137255,1
75,0.0,268.2352941176471,556.9607843137255,0
76,0.15132377554172224,268.3,557.0,1
77,0.17551020408166096,268.38775510204084,557.0,1
78,0.16391946612262623,268.4583333333333,556.9583333333334,1
79,0.31205728985708053,268.60869565217394,557.0,2
80,0.0,268.60869565217394,557.0,0
81,0.0,268.60869565217394,557.0,0
82,0.0,268.60869565217394,557.0,0
83,0.8804089099795263,268.18,556.9,6
84,0.32000000000005,268.02,556.9,2
85,0.3259443717023045,268.1020408163265,557.0408163265306,3
86,0.15402662290840036,268.1458333333333,557.1041666666666,1
87,0.0,268.1458333333333,557.1041666666666,0
88,0.0,268.1458333333333,557.1041666666666,0
89,0.0,268.1458333333333,557.1041666666666,0
90,0.0,268.1458333333333,557.1041666666666,0
91,0.15386250628897444,268.1063829787234,557.1702127659574,1
92,0.0,268.1063829787234,557.1702127659574,0
93,0.0,268.1063829787234,557.1702127659574,0
94,0.0,268.1063829787234,557.1702127659574,0
95,0.3430747978000145,268.25531914893617,557.2553191489362,2
96,0.5904295759215387,268.2352941176471,556.9607843137255,6
97,0.0,268.2352941176471,556.9607843137255,0
98,0.0,268.2352941176471,556.9607843137255,0
99,0.0,268.2352941176471,556.9607843137255,0
100,0.16467383485916534,268.3076923076923,557.0,1
101,0.0,268.3076923076923,557.0,0
102,0.0,268.3076923076923,557.0,0
103,0.0,268.3076923076923,557.0,0
104,0.0,268.3076923076923,557.0,0
105,0.0,268.3076923076923,557.0,0
106,0.0,268.3076923076923,557.0,0
107,0.0,268.3076923076923,557.0,0
108,0.9195647685457372,267.9574468085106,556.7021276595744,7
109,0.30636963686810403,267.8775510204082,556.5714285714286,2
110,0.14746231765730985,267.8958333333333,556.5,1
111,0.42261950304483376,267.9574468085106,556.7021276595744,3
