Feature,Coefficient
threshold,0.2664385231846712
variance_speed,0.00026630758878383616
area_explored,1.0883985700653805e-06
total_distance,-4.372402326476163e-06
average_speed,-0.03790095819222845
active_time_ratio,-0.6589498389963822
movement_frequency,-65.8949839001555
