Frame,Speed,X,Y,Changed Pixels
1,38.38668043142022,623.1208053691275,252.8724832214765,313
2,1.5798760904967502,622.7222222222222,252.1904761904762,23
3,0.5753648629784293,623.0071942446043,252.15107913669064,13
4,0.5661039760604029,623.2328767123288,252.32191780821918,7
5,0.32727105051561883,623.0915492957746,252.2394366197183,4
6,0.10762654107981295,623.049645390071,252.20567375886526,1
7,0.6884998019546764,622.7080291970802,252.24817518248176,8
8,0.9609089196725166,622.2301587301587,252.1984126984127,11
9,0.6665188787586219,621.8991596638656,252.1596638655462,7
10,0.40318950782599666,622.0409836065573,252.01639344262296,7
11,0.640605985884429,621.7435897435897,251.89743589743588,7
12,1.443864599331934,621.1981132075472,251.4245283018868,15
13,1.3841778759865382,621.3063063063063,252.1081081081081,17
14,0.34918295425514567,621.4629629629629,252.1851851851852,5
15,1.0437941237808537,621.2407407407408,251.71296296296296,14
16,0.42812316928572497,621.4545454545455,251.70247933884298,13
17,0.3348819831445792,621.4552845528456,251.869918699187,4
18,0.06554463824732337,621.4661016949152,251.83898305084745,5
19,0.3507052390362294,621.2931034482758,251.81034482758622,4
20,0.0,621.2931034482758,251.81034482758622,0
21,0.7432476615555268,621.1037735849056,251.49056603773585,10
22,0.11239394608547473,621.1495327102804,251.45794392523365,1
23,0.21470159441398395,621.256880733945,251.45871559633028,2
24,1.7939548264323604,621.8145161290323,252.16129032258064,21
25,0.8766080026719393,621.9401709401709,252.5811965811966,11
26,0.5280948213000101,621.6936936936937,252.48648648648648,6
27,0.3344733301151691,621.5700934579439,252.37383177570092,4
28,0.3322480481668184,621.4711538461538,252.2403846153846,3
29,0.08686626458824562,621.4811320754717,252.19811320754718,2
30,0.2912346775537076,621.4629629629629,252.34259259259258,4
31,0.0,621.4629629629629,252.34259259259258,0
32,0.18005532781554395,621.4433962264151,252.25471698113208,2
33,0.21235220780267083,621.3653846153846,252.18269230769232,2
34,0.10247975094577495,621.411214953271,252.20560747663552,3
35,0.0995944724286873,621.3636363636364,252.1909090909091,3
36,0.2953460359881891,621.3771929824561,252.0438596491228,8
37,0.44311079324210595,621.5867768595041,252.11570247933884,7
38,0.5768417182726672,621.7235772357724,251.8617886178862,8
39,0.5765613641541174,621.9389312977099,252.05343511450383,8
40,0.19847328244281925,621.9007633587786,251.9618320610687,2
41,0.22867509771185587,621.8615384615384,252.06923076923076,3
42,0.6251659438855693,621.5491803278688,252.05737704918033,8
43,0.3012393650193109,621.6307692307693,251.93076923076924,10
44,0.34536044015780315,621.7391304347826,252.06521739130434,8
45,0.2169596293699099,621.8169014084507,252.14084507042253,4
46,0.16959992364499196,621.8239436619718,252.22535211267606,2
47,0.07916568949992309,621.8391608391609,252.1888111888112,1
48,0.6400706419256272,621.6747967479674,252.46341463414635,20
49,0.545939685572567,621.5504587155963,252.70642201834863,16
50,0.43707806496894297,621.4230769230769,252.52884615384616,5
51,0.17574435462095397,621.3823529411765,252.45098039215685,2
52,0.12835631306853182,621.3366336633663,252.40594059405942,1
53,0.09234253321359541,621.3529411764706,252.36274509803923,1
54,0.09795845215734311,621.3861386138614,252.32673267326732,1
55,0.09235835468346727,621.37,252.37,1
56,0.23188938947715498,621.4851485148515,252.35643564356437,3
57,0.12960346485242102,621.5392156862745,252.3921568627451,1
58,0.12795649875573964,621.5728155339806,252.44660194174756,1
59,0.12795649875573964,621.5392156862745,252.3921568627451,1
60,0.40021375390118313,621.7142857142857,252.2952380952381,9
61,0.12288280650461599,621.7735849056604,252.31132075471697,1
62,0.08378249133951841,621.7850467289719,252.2710280373832,1
63,0.09839558369708408,621.75,252.30555555555554,1
64,0.3777479031512842,621.938596491228,252.31578947368422,6
65,0.20140090299967994,621.8571428571429,252.375,2
66,0.33863927125719334,621.7117117117117,252.2882882882883,3
67,1.0367704476060333,621.3703703703703,251.89814814814815,11
68,0.3404588205713304,621.4351851851852,252.05555555555554,6
69,0.1734385328229042,621.5192307692307,252.07692307692307,4
70,0.2980300786371281,621.3861386138614,252.009900990099,3
71,0.3285857442351601,621.3,251.87,3
72,0.8567413053580163,621.6122448979592,252.16326530612244,12
73,0.26502045971478916,621.7070707070707,252.07070707070707,3
74,0.10159732839782354,621.656862745098,252.07843137254903,5
75,0.11129006384943475,621.6310679611651,252.02912621359224,1
76,0.35029707798051185,621.5247524752475,252.16831683168317,4
77,0.32574093338354,621.6504854368932,252.27184466019418,4
78,0.1181118937922105,621.7087378640776,252.28155339805826,2
79,0.10297680368723744,621.7450980392157,252.2450980392157,1
80,0.35377526713796403,621.57,252.22,4
81,0.1811077027627782,621.56,252.13,2
82,0.12947300299334993,621.6237623762377,252.11881188118812,1
83,0.261336673204966,621.7333333333333,252.04761904761904,6
84,1.0425479234371875,622.2540983606557,252.02459016393442,17
85,0.8538905307068216,622.672,252.112,9
86,0.33587613974494845,622.8359375,252.1484375,3
87,0.44582112393487316,623.030303030303,252.25757575757575,4
88,0.448699784695832,623.25,252.21212121212122,6
89,0.11960601909375525,623.3095238095239,252.20634920634922,6
90,0.17496879762071776,623.3790322580645,252.15322580645162,2
91,0.3612029263346232,623.5343511450382,252.06106870229007,7
92,0.2254600771057855,623.6470588235294,252.05882352941177,5
93,0.4262658365131522,623.7928571428571,252.21428571428572,4
94,1.1362960566598617,624.3288590604027,252.40268456375838,13
95,0.296627205115844,624.4594594594595,252.47297297297297,3
96,0.61944998314393,624.3788819875776,252.17391304347825,19
97,0.41953365047076907,624.224358974359,252.03205128205127,5
98,0.19124263235469108,624.3164556962025,252.00632911392404,2
